sample_id,is_inlier_max_diff,group_id,score,is_inlier_1,is_inlier_5,is_inlier_10,is_inlier_15,is_inlier_20,is_inlier_25,is_inlier_30
Plate01_2012-06-11_950,True,gi-795,11.238975554367059,True,True,True,True,True,True,True
Plate01_2012-06-11_951,True,gi-795,13.213597898280986,True,True,True,True,True,True,True
Plate01_2012-06-11_952,True,gi-795,15.532008354275735,True,True,True,False,False,False,False
Plate01_2012-06-11_953,True,gi-795,11.34389449728549,True,True,True,True,True,True,True
Plate01_2012-06-11_954,True,gi-795,13.162621845914174,True,True,True,True,True,True,True
Plate01_2012-06-11_955,True,gi-795,11.744711742833092,True,True,True,True,True,True,True
Plate01_2012-06-11_956,True,gi-795,16.47795450116116,True,True,False,False,False,False,False
Plate01_2012-06-11_1090,True,gi-795,11.235812426114185,True,True,True,True,True,True,True
Plate01_2012-06-11_1091,True,gi-795,11.210212718800827,True,True,True,True,True,True,True
Plate01_2012-06-11_1092,True,gi-795,12.379345812362908,True,True,True,True,True,True,True
Plate01_2012-06-11_1093,True,gi-795,12.648018132311917,True,True,True,True,True,True,True
Plate01_2012-06-11_1094,True,gi-795,12.105849744650412,True,True,True,True,True,True,True
Plate01_2012-06-11_1095,True,gi-795,12.183705247239793,True,True,True,True,True,True,True
Plate01_2012-06-11_1096,True,gi-795,11.129224061600873,True,True,True,True,True,True,True
Plate01_2012-06-11_1097,True,gi-795,15.226595640316715,True,True,True,True,False,False,False
Plate01_2012-06-11_1098,True,gi-795,13.671649506726448,True,True,True,True,True,True,True
Plate01_2012-06-11_1099,True,gi-795,12.836512847405118,True,True,True,True,True,True,True
Plate01_2012-06-11_1100,True,gi-795,11.030598643832489,True,True,True,True,True,True,True
